,score,Game
0,9.0,planescape: torment
1,8.6,icewind dale
2,9.2,baldur's gate ii: shadows of amn
3,5.7,icewind dale: heart of winter
4,8.4,onimusha: warlords
5,8.7,baldur's gate ii: throne of bhaal
6,9.2,neverwinter nights
8,5.8,industry giant ii
9,7.8,neverwinter nights: shadows of undrentide
11,6.4,xiii
15,8.2,neverwinter nights: hordes of the underdark
18,9.6,resident evil 4
20,7.6,titan quest
22,8.4,dead rising
23,7.4,yakuza
24,9.0,okami
25,9.0,final fantasy xii
26,9.6,gears of war
27,8.3,super monkey ball: banana blitz
28,7.9,titan quest: immortal throne
31,9.1,resident evil 4 wii edition
32,9.0,bioshock
35,5.0,bladestorm: the hundred years' war
37,9.0,burnout paradise
40,8.5,tales of vesperia
42,7.5,yakuza 2
43,6.5,baja: edge of control
45,8.0,lock's quest
46,8.0,de blob
48,9.0,burnout paradise: the ultimate box
49,8.5,resident evil 5
51,8.5,red faction: guerrilla
53,5.0,ghostbusters the video game
58,7.0,red faction: guerrilla - demons of the badlands
63,8.0,darksiders
65,8.0,resident evil 5: lost in nightmares
66,8.5,dead rising 2
70,7.5,back to the future: the game - episode i
71,8.0,bulletstorm
74,7.0,de blob 2
77,7.5,back to the future: the game - episode 1: it's about time
79,7.5,back to the future: the game - episode ii: get tannen!
80,9.0,l.a. noire
82,8.0,terraria
83,9.5,dark souls
85,8.0,world of tanks
86,9.0,the elder scrolls v: skyrim
88,8.5,saints row: the third
89,8.0,ultimate marvel vs. capcom 3
93,9.0,l.a. noire: the complete edition
94,8.5,minecraft
101,6.0,kinect: disneyland adventures
102,5.0,saints row: the third - genki bowl vii
104,8.5,resident evil: revelations
107,8.5,sine mora
108,7.5,devil may cry hd collection
109,8.0,the walking dead: episode 1
112,6.0,sniper elite v2
120,8.5,diablo iii
122,8.0,dragon's dogma
124,8.5,the walking dead: episode 2 - starved for help
125,7.0,the elder scrolls v: skyrim - dawnguard
128,8.5,darksiders ii
129,8.0,sleeping dogs
134,8.5,the walking dead: episode 3 - long road ahead
135,9.5,dark souls: prepare to die edition
136,8.5,torchlight ii
137,4.5,resident evil 6
139,9.0,dishonored
142,7.0,the walking dead - episode 4: around every corner
145,8.5,assassin's creed iii
147,7.5,the walking dead: episode 5 - no time left
151,6.0,baldur's gate: enhanced edition
152,8.0,dmc: devil may cry
155,7.5,assassin's creed iii: the tyranny of king washington - the infamy
156,8.5,tomb raider
159,8.0,lego city undercover
160,7.0,dmc: devil may cry - vergil's downfall
161,5.0,assassin's creed iii: the tyranny of king washington - the betrayal
164,8.5,dishonored: the knife of dunwall
167,7.0,dragon's dogma: dark arisen
168,6.5,assassin's creed iii: the tyranny of king washington - the redemption
169,7.0,don't starve
174,8.0,reus
175,8.0,state of decay
177,5.5,deadpool
178,9.0,the walking dead: 400 days
181,5.0,the raven: legacy of a master thief
182,8.0,brothers: a tale of two sons
183,8.0,dishonored: the brigmore witches
184,9.0,rayman legends
185,7.0,payday 2
191,6.0,madden nfl 25
198,9.0,grand theft auto v
200,8.0,fifa 14
201,8.0,nba 2k14
202,7.0,shadow warrior
203,7.0,the walking dead: 400 days - a noble experiment
204,8.0,the wolf among us: episode 1 - faith
205,7.0,grand theft auto online
207,7.0,skylanders swap force
208,8.0,grand theft auto v - southland sprawl
210,8.0,rocksmith 2014 edition
212,6.0,the wolf among us: episode 1 - testing my faith
213,7.0,just dance 2014
214,9.0,assassin's creed iv: black flag
216,7.0,lego marvel super heroes
217,8.0,battlefield 4
218,8.0,call of duty: ghosts
222,6.0,angry birds star wars
225,8.0,need for speed: rivals
227,6.0,lococycle
228,7.0,dead rising 3
230,5.0,crimson dragon
231,8.0,fifa 2014
232,7.0,killer instinct
236,9.0,forza motorsport 5
240,4.0,ryse: son of rome
244,4.0,nba live 14
245,6.0,zoo tycoon
247,7.0,powerstar golf
248,7.0,madden 25
249,2.0,fighter within
250,8.0,peggle 2
251,6.0,the walking dead: season two episode 1 - all that remains
252,7.0,baldur's gate ii: enhanced edition
253,6.0,assassin's creed iv: black flag - freedom cry
256,7.0,state of decay: breakdown
258,6.0,halo: spartan assault
259,6.0,max: the curse of brotherhood
261,7.0,don't starve: console edition
262,8.0,tomb raider: definitive edition
263,7.0,the wolf among us: episode 2 - smoke and mirrors
264,7.0,the lego movie videogame
265,8.0,strider
266,6.0,thief
267,7.0,plants vs. zombies: garden warfare
268,8.0,resident evil 4 hd edition
