,score,Game,Year,Publisher,North America,Europe,Japan,Rest of World,global_unit_sales
0,5.8,Industry Giant Ii,2017.0,UIG Entertainment,0.0,0.0,0.0,0.0,0.0
1,8.4,Dead Rising,2016.0,Capcom,0.03,0.0,0.0,0.0,0.04
2,9.0,Okami,2017.0,Capcom,0.05,0.0,0.0,0.01,0.06
3,5.0,Bladestorm: The Hundred Years' War,2015.0,BioWare,0.0,0.0,0.0,0.0,0.0
4,8.0,Lock'S Quest,2017.0,THQ Nordic,0.01,0.0,0.0,0.0,0.02
5,8.0,De Blob,2017.0,THQ Nordic,0.0,0.0,0.0,0.0,0.0
6,8.5,Dead Rising 2,2016.0,Capcom,0.03,0.0,0.0,0.0,0.04
7,9.0,L.A. Noire,2017.0,Rockstar Games,0.14,0.09,0.0,0.02,0.25
8,8.0,Terraria,2014.0,505 Games,0.0,0.04,0.0,0.0,0.04
9,9.0,The Elder Scrolls V: Skyrim,2016.0,Bethesda Softworks,1.13,0.53,0.0,0.17,1.83
10,8.0,Ultimate Marvel Vs. Capcom 3,2017.0,Capcom,0.12,0.0,0.0,0.01,0.14
11,8.5,Minecraft,2014.0,Microsoft Studios,3.23,1.71,0.0,0.49,5.43
12,8.5,Resident Evil: Revelations,2017.0,Capcom,0.02,0.0,0.0,0.0,0.02
13,8.5,Sine Mora,2017.0,THQ Nordic,0.03,0.0,0.0,0.0,0.04
14,8.5,Diablo Iii,2014.0,Blizzard Entertainment,0.62,0.32,0.0,0.09,1.04
15,8.0,Dragon'S Dogma,2017.0,Capcom,0.04,0.0,0.0,0.0,0.04
16,8.5,Darksiders Ii,2015.0,Nordic Games,0.05,0.03,0.0,0.01,0.08
17,8.0,Sleeping Dogs,2014.0,Square Enix,0.1,0.09,0.0,0.02,0.2
18,4.5,Resident Evil 6,2016.0,Capcom,0.06,0.0,0.0,0.01,0.07
19,9.0,Dishonored,2015.0,Bethesda Softworks,0.13,0.05,0.0,0.02,0.19
20,8.0,Dmc: Devil May Cry,2015.0,Capcom,0.09,0.04,0.0,0.01,0.15
21,8.0,Lego City Undercover,2017.0,Warner Bros. Interactive Entertainment,0.15,0.12,0.0,0.03,0.3
22,7.0,Don'T Starve,2018.0,505 Games,0.04,0.0,0.0,0.0,0.04
23,8.0,Reus,2016.0,Soedesco,0.0,0.0,0.0,0.0,0.0
24,8.0,State Of Decay,2015.0,Microsoft Studios,0.14,0.05,0.0,0.02,0.21
25,5.5,Deadpool,2015.0,Activision,0.17,0.03,0.0,0.02,0.22
26,8.0,Brothers: A Tale Of Two Sons,2015.0,505 Games,0.04,0.01,0.0,0.01,0.05
27,9.0,Rayman Legends,2014.0,Ubisoft,0.13,0.22,0.0,0.03,0.38
28,7.0,Payday 2,2015.0,505 Games,0.14,0.07,0.0,0.02,0.23
29,6.0,Madden Nfl 25,2013.0,EA Sports,0.69,0.06,0.0,0.09,0.83
30,9.0,Grand Theft Auto V,2014.0,Rockstar Games,4.7,3.25,0.01,0.76,8.72
31,8.0,Nba 2K14,2013.0,2K Sports,0.72,0.12,0.0,0.09,0.94
32,7.0,Skylanders Swap Force,2013.0,Activision,0.25,0.07,0.0,0.03,0.35
33,7.0,Just Dance 2014,2013.0,Ubisoft,0.31,0.12,0.0,0.04,0.48
34,9.0,Assassin'S Creed Iv: Black Flag,2013.0,Ubisoft,1.51,0.59,0.0,0.22,2.32
35,7.0,Lego Marvel Super Heroes,2013.0,Warner Bros. Interactive Entertainment,0.61,0.44,0.0,0.1,1.15
36,8.0,Battlefield 4,2013.0,Electronic Arts,1.26,0.65,0.0,0.19,2.09
37,8.0,Call Of Duty: Ghosts,2013.0,Activision,1.92,0.86,0.0,0.28,3.07
