,Game,metacritic_score,metacritic_review_count,user_score,user_review_count,content_rating,Publisher,genres,release_date
0,red dead redemption 2,97,33,7.7,2413.0,M,Rockstar Games,"['Action Adventure', ' Open-World']","Oct 26, 2018"
1,metal gear solid v: the phantom pain,95,10,7.4,1111.0,M,"Kojima Productions, Moby Dick Studio","['Modern', ' Modern', ' Action Adventure', ' Open-World']","Sep 1, 2015"
2,the witcher 3: wild hunt - blood and wine,94,6,8.7,408.0,M,CD Projekt Red Studio,"['Role-Playing', ' Action RPG']","May 31, 2016"
3,resident evil 2,93,27,8.6,804.0,M,Capcom R&D Division 1,"['Action Adventure', ' Survival']","Jan 25, 2019"
4,inside,93,87,8.3,629.0,M,PLAYDEAD,"['Action', ' Platformer', ' 2D']","Jun 29, 2016"
5,divinity: original sin ii - definitive edition,92,12,7.8,122.0,M,Larian Studios Games,"['Role-Playing', ' Western-Style']","Aug 31, 2018"
6,what remains of edith finch,92,12,7.7,166.0,T,Giant Sparrow,"['Adventure', ' 3D', ' First-Person']","Jul 19, 2017"
7,the swapper,92,6,7.5,52.0,E10+,Facepalm Games,"['Action', ' Platformer', ' 2D']","Jun 5, 2015"
8,the witcher 3: wild hunt,91,13,9.2,4585.0,M,CD Projekt Red Studio,"['Action RPG', ' Role-Playing', ' Action RPG']","May 19, 2015"
9,rayman legends,91,6,7.9,243.0,E10+,Ubisoft Montpellier,"['Platformer', ' 2D', ' Action', ' Platformer', ' 2D']","Feb 18, 2014"
10,overwatch,91,18,5.9,886.0,T,Blizzard Entertainment,"['Action', ' Shooter', ' First-Person', ' Tactical']","May 23, 2016"
11,sekiro: shadows die twice,91,31,8.0,628.0,M,From Software,"['Action Adventure', ' General']","Mar 22, 2019"
12,dead cells,91,18,8.1,92.0,T,Motion Twin,"['Action', ' Platformer', ' 2D']","Aug 7, 2018"
13,hollow knight: voidheart edition,90,6,8.8,77.0,E10+,Team Cherry,"['Action Adventure', ' General']","Sep 25, 2018"
14,monster hunter: world - iceborne,90,9,8.1,60.0,T,Capcom,"['Role-Playing', ' Action RPG']","Sep 6, 2019"
15,nier: automata - become as gods edition,90,30,9.1,385.0,M,PlatinumGames,"['Role-Playing', ' Action RPG']","Jun 26, 2018"
16,the witcher 3: wild hunt - hearts of stone,90,4,9.3,719.0,M,CD Projekt Red Studio,"['Role-Playing', ' Action RPG']","Oct 13, 2015"
17,pinball fx3: universal classics pinball,90,4,6.0,5.0,E10+,Zen Studios,"['Action', ' Pinball']","Sep 26, 2017"
18,ori and the will of the wisps,90,71,8.8,954.0,E,Moon Studios,"['Action', ' Platformer', ' 2D']","Mar 11, 2020"
19,nba 2k17,90,17,5.9,132.0,E,Visual Concepts,"['Sports', ' Team', ' Basketball', ' Sim']","Sep 16, 2016"
20,call of duty: modern warfare remastered,89,6,6.0,133.0,M,Infinity Ward,"['Arcade', ' Action', ' Shooter', ' First-Person', ' Tactical']","Nov 4, 2016"
21,f1 2019,89,15,6.5,41.0,E,Codemasters,"['Racing', ' Simulation', ' Automobile']","Jun 25, 2019"
22,stardew valley,89,10,7.8,105.0,E10+,"Sickhead Games, LLC, Eric Barone","['Role-Playing', ' General']","Dec 14, 2016"
23,injustice 2,89,23,8.1,223.0,T,NetherRealm Studios,"['Action', ' Fighting', ' 2D']","May 16, 2017"
24,sonic mania plus,89,5,6.7,52.0,E,Sega,"['Action', ' Platformer', ' 2D']","Jul 17, 2018"
25,fallout 4,88,39,6.5,1971.0,M,Bethesda Game Studios,"['General', ' Role-Playing', ' Western-Style']","Nov 10, 2015"
26,n++,88,7,5.6,19.0,E10+,Metanet Software Inc.,"['Action', ' Platformer', ' 2D']","Oct 4, 2017"
27,divinity: original sin enhanced edition,88,7,7.7,135.0,M,Larian Studios Games,"['Role-Playing', ' Action RPG', ' Western-Style']","Oct 27, 2015"
28,dishonored 2,88,25,7.3,252.0,M,Arkane Studios,"['Action Adventure', ' General']","Nov 10, 2016"
29,the banner saga 3,88,9,7.3,25.0,T,Stoic,"['Strategy', ' Turn-Based', ' Tactics']","Jul 26, 2018"
30,minecraft: xbox one edition,88,14,6.7,308.0,E10+,"4J Studios, Mojang AB","['Action Adventure', ' Adventure', ' 3D', ' Sandbox', ' First-Person', ' Fantasy', ' Fantasy']","Nov 18, 2014"
31,guacamelee! super turbo championship edition,88,7,7.0,193.0,E10+,DrinkBox Studios,"['Action', ' Platformer', ' 2D']","Jul 2, 2014"
32,ori and the blind forest,88,73,8.6,888.0,E,Moon Studios,"['Action', ' Platformer', ' 2D']","Mar 11, 2015"
33,apex legends,88,10,6.5,223.0,T,Respawn Entertainment,"['Action', ' Shooter', ' First-Person', ' Tactical']","Feb 4, 2019"
34,tales from the borderlands: a telltale game series,88,4,8.0,79.0,M,Telltale Games,"['Adventure', ' General']","Oct 20, 2015"
35,hellblade: senua's sacrifice,88,18,7.4,335.0,M,Ninja Theory,"['Action Adventure', ' General']","Apr 11, 2018"
36,devil may cry 5,87,64,7.5,938.0,M,Capcom,"['Action Adventure', ' General']","Mar 8, 2019"
37,middle-earth: shadow of mordor,87,12,7.9,689.0,M,Monolith Productions,"['Fantasy', ' Action Adventure', ' Fantasy', ' Open-World']","Sep 30, 2014"
38,kingdom: new lands,87,5,6.2,25.0,E10+,Noio,"['Strategy', ' General']","Aug 9, 2016"
39,donut county,87,4,5.4,8.0,E,Ben Esposito,"['Action Adventure', ' General']","Dec 18, 2018"
40,kentucky route zero: tv edition,87,8,5.7,18.0,T,Cardboard Computer,"['Adventure', ' General']","Jan 28, 2020"
41,pro evolution soccer 2017,87,12,5.9,99.0,E,Konami,"['Sports', ' Team', ' Soccer', ' Sim']","Sep 13, 2016"
42,destiny 2,87,22,4.4,589.0,T,Bungie,"['Action', ' Shooter', ' First-Person', ' Arcade']","Sep 6, 2017"
43,okami hd,87,14,8.2,65.0,T,Capcom,"['Action Adventure', ' General']","Dec 12, 2017"
44,for the king,87,4,7.3,8.0,T,IronOak Games,"['Role-Playing', ' Roguelike']","May 7, 2019"
45,dirt rally,86,17,7.9,83.0,E,Codemasters,"['Racing', ' Simulation', ' Automobile']","Apr 5, 2016"
46,sid meier's civilization vi,86,12,7.5,23.0,E10+,Aspyr,"['Strategy', ' Turn-Based', ' 4X']","Nov 22, 2019"
47,cuphead,86,72,8.3,801.0,E10+,Studio MDHR,"['Action', ' Platformer', ' 2D']","Sep 29, 2017"
48,shovel knight,86,10,7.6,64.0,E,Yacht Club Games,"['Action', ' Platformer', ' 2D']","Apr 21, 2015"
49,pillars of eternity: complete edition,86,11,7.5,34.0,M,"Obsidian Entertainment, Paradox Arctic","['Role-Playing', ' Western-Style']","Aug 29, 2017"
50,nba 2k14,86,15,5.7,184.0,E,Visual Concepts,"['Sim', ' Sports', ' Traditional', ' Team', ' Basketball', ' Sim']","Nov 12, 2013"
51,dmc: devil may cry definitive edition,86,20,8.0,273.0,M,"Ninja Theory, QLOC","['Fantasy', ' Action Adventure', ' General', ' Linear']","Mar 10, 2015"
52,sky force reloaded,86,10,7.2,15.0,E10+,Infinite Dreams Inc.,"['Action', ' Shooter', "" Shoot-'Em-Up"", ' Vertical']","Dec 1, 2017"
53,titanfall,86,68,6.7,2485.0,M,Respawn Entertainment,"['Shooter', ' Sci-Fi', ' Miscellaneous', ' General', ' Action', ' Shooter', ' First-Person', ' Sci-Fi', ' Arcade']","Mar 11, 2014"
