,Game,metacritic_score,metacritic_review_count,user_score,user_review_count,content_rating,genres,release_date,Year,Publisher,North America,Europe,Japan,Rest of World,Global
0,Red Dead Redemption 2,97,33,7.7,2413.0,M,"['Action Adventure', ' Open-World']","Oct 26, 2018",2018.0,Rockstar Games,3.76,1.47,0.0,0.54,5.77
1,Metal Gear Solid V: The Phantom Pain,95,10,7.4,1111.0,M,"['Modern', ' Modern', ' Action Adventure', ' Open-World']","Sep 1, 2015",2015.0,Konami Digital Entertainment,0.49,0.25,0.02,0.07,0.83
2,The Witcher 3: Wild Hunt,91,13,9.2,4585.0,M,"['Action RPG', ' Role-Playing', ' Action RPG']","May 19, 2015",2015.0,Namco Bandai Games,0.97,0.61,0.01,0.15,1.74
3,Rayman Legends,91,6,7.9,243.0,E10+,"['Platformer', ' 2D', ' Action', ' Platformer', ' 2D']","Feb 18, 2014",2014.0,Ubisoft,0.13,0.22,0.0,0.03,0.38
4,Overwatch,91,18,5.9,886.0,T,"['Action', ' Shooter', ' First-Person', ' Tactical']","May 23, 2016",2016.0,Blizzard Entertainment,1.63,0.84,0.0,0.25,2.72
5,NBA 2K17,90,17,5.9,132.0,E,"['Sports', ' Team', ' Basketball', ' Sim']","Sep 16, 2016",2016.0,2K Sports,1.7,0.12,0.0,0.21,2.04
6,Call of Duty: Modern Warfare Remastered,89,6,6.0,133.0,M,"['Arcade', ' Action', ' Shooter', ' First-Person', ' Tactical']","Nov 4, 2016",2017.0,Activision,0.16,0.06,0.0,0.02,0.24
7,Stardew Valley,89,10,7.8,105.0,E10+,"['Role-Playing', ' General']","Dec 14, 2016",2017.0,505 Games,0.02,0.0,0.0,0.0,0.03
8,Injustice 2,89,23,8.1,223.0,T,"['Action', ' Fighting', ' 2D']","May 16, 2017",2017.0,Warner Bros. Interactive Entertainment,0.65,0.16,0.0,0.09,0.89
9,Fallout 4,88,39,6.5,1971.0,M,"['General', ' Role-Playing', ' Western-Style']","Nov 10, 2015",2015.0,Bethesda Softworks,2.94,1.62,0.02,0.45,5.03
10,Dishonored 2,88,25,7.3,252.0,M,"['Action Adventure', ' General']","Nov 10, 2016",2016.0,Bethesda Softworks,0.47,0.31,0.0,0.08,0.86
11,Ori and the Blind Forest,88,73,8.6,888.0,E,"['Action', ' Platformer', ' 2D']","Mar 11, 2015",,,0.0,0.0,0.0,0.0,0.0
