,Game,metacritic_score,metacritic_review_count,user_score,user_review_count,content_rating,genres,release_year,Publisher,global_unit_sales
0,Red Dead Redemption 2,97,33,7.7,2413.0,M,"['Action Adventure', ' Open-World']",2018,Rockstar Games,5.77
1,Metal Gear Solid V: The Phantom Pain,95,10,7.4,1111.0,M,"['Modern', ' Modern', ' Action Adventure', ' Open-World']",2015,Konami Digital Entertainment,0.83
2,Inside,93,87,8.3,629.0,M,"['Action', ' Platformer', ' 2D']",2016,,0.0
3,The Witcher 3: Wild Hunt,91,13,9.2,4585.0,M,"['Action RPG', ' Role-Playing', ' Action RPG']",2015,Namco Bandai Games,1.74
4,Rayman Legends,91,6,7.9,243.0,E10+,"['Platformer', ' 2D', ' Action', ' Platformer', ' 2D']",2014,Ubisoft,0.38
5,Overwatch,91,18,5.9,886.0,T,"['Action', ' Shooter', ' First-Person', ' Tactical']",2016,Blizzard Entertainment,2.72
6,Nba 2K17,90,17,5.9,132.0,E,"['Sports', ' Team', ' Basketball', ' Sim']",2016,2K Sports,2.04
7,Call Of Duty: Modern Warfare Remastered,89,6,6.0,133.0,M,"['Arcade', ' Action', ' Shooter', ' First-Person', ' Tactical']",2016,Activision,0.24
8,Stardew Valley,89,10,7.8,105.0,E10+,"['Role-Playing', ' General']",2016,505 Games,0.03
9,Injustice 2,89,23,8.1,223.0,T,"['Action', ' Fighting', ' 2D']",2017,Warner Bros. Interactive Entertainment,0.89
10,Fallout 4,88,39,6.5,1971.0,M,"['General', ' Role-Playing', ' Western-Style']",2015,Bethesda Softworks,5.03
11,Dishonored 2,88,25,7.3,252.0,M,"['Action Adventure', ' General']",2016,Bethesda Softworks,0.86
12,Ori And The Blind Forest,88,73,8.6,888.0,E,"['Action', ' Platformer', ' 2D']",2015,,0.0
13,Middle-Earth: Shadow Of Mordor,87,12,7.9,689.0,M,"['Fantasy', ' Action Adventure', ' Fantasy', ' Open-World']",2014,Warner Bros. Interactive Entertainment,1.42
